[    8558ms] [INFO] itemitem {borderColor: #FFB7BD, backgroundColor: #fff, code: sglj, color: #FF0F23, labelType: 1} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8560ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8561ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/415047/7/6781/1527/69d7151aF29f6c5c2/027606c020107e1b.png, code: bybt, labelType: 0, source: ware, text: 百亿补贴} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8561ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满49减10, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8562ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满200减10, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8563ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.2折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8563ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/414120/1/16662/1925/69d71403F1952bb31/027606c020568576.png, code: jdwl, labelType: 0, source: ware, text: 京东物流} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8563ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/414768/20/13966/2127/69d71862F3135eb79/027603c020d0240d.png, code: bjxp, labelType: 0, source: productCoreDTO, text: 新品} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8563ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 每300减45, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8564ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/417949/24/653/639/69d712e2F32414070/027603401c9538ba.png, source: ware, label: zy, text: 自营, attr: selfSupport} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    8564ms] [INFO] itemitem {imgUrl: https://m.360buyimg.com/cc/jfs/t1/76464/27/27930/2990/66bb1c4aF28d63d19/c7f4323e5380516f.png, code: csps, source: ware, text: 厂商配送, attr: supplierSend} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
