[    7404ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:54345/js/dayTimezone.js:0
[    7947ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/417949/24/653/639/69d712e2F32414070/027603401c9538ba.png, source: ware, label: zy, text: 自营, attr: selfSupport} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7949ms] [INFO] itemitem {imgUrl: https://m.360buyimg.com/cc/jfs/t1/76464/27/27930/2990/66bb1c4aF28d63d19/c7f4323e5380516f.png, code: csps, source: ware, text: 厂商配送, attr: supplierSend} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7949ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥529.2, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7949ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1享9折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7951ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/415111/40/9690/1369/69d71254Fb7076d4d/0276066020f88278.png, code: hrd, labelType: 0, source: ware, text: 后日达} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7951ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满300减50, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7951ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7952ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/414768/20/13966/2127/69d71862F3135eb79/027603c020d0240d.png, code: isFzxp, labelType: 0, source: productCoreDTO, text: 新品} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7952ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7952ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 赠, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    7952ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
